Category,,Children Ever Born,,Children Died, Death Percentage,,,,,,,,,,,,,,,
15 - 19,,108524,,2253,2.07603848,,,,,,,,,,,,,,,
20 – 24,,979226,,18857,1.925704587,,,,,,,,,,,,,,,
25 - 29,,1922277,,40083,2.085183353,,,,,,,,,,,,,,,
30 - 34,,2396947,,60264,2.51419827,,,,,,,,,,,,,,,
35 - 39,,2735867,,86806,3.172888156,,,,,,,,,,,,,,,
40 - 44,,2490862,,100186,4.022141732,,,,,,,,,,,,,,,
45 - 49,,2166266,,107429,4.959178605,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Category,,Children Ever Born,,Children Died, Death Percentage,,,,,,,,,,,,,,,
15 - 19,,62966,,1237,1.964552298,,,,,,,,,,,,,,,
20 – 24,,595934,,10378,1.741468015,,,,,,,,,,,,,,,
25 - 29,,1233247,,23001,1.865076501,,,,,,,,,,,,,,,
30 - 34,,1574625,,34235,2.174168453,,,,,,,,,,,,,,,
35 - 39,,1793188,,49825,2.778570903,,,,,,,,,,,,,,,
40 - 44,,1609745,,56422,3.505027194,,,,,,,,,,,,,,,
45 - 49,,1368477,,59989,4.383632315,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Category,,Children Ever Born,,Children Died, Death Percentage,,,,,,,,,,,,,,,
15 - 19,,45558,,1016,2.230124237,,,,,,,,,,,,,,,
20 – 24,,383292,,8479,2.212151571,,,,,,,,,,,,,,,
25 - 29,,689030,,17082,2.479137338,,,,,,,,,,,,,,,
30 - 34,,822322,,26029,3.165305075,,,,,,,,,,,,,,,
35 - 39,,942679,,36981,3.922968476,,,,,,,,,,,,,,,
40 - 44,,881117,,43764,4.966877271,,,,,,,,,,,,,,,
45 - 49,,797789,,47440,5.946434458,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
