Year,MMR,ABR
1990,976,129.901
1991,924,125.898
1992,872,126.917
1993,833,131.456
1994,783,125.948
1995,743,124.746
1996,705,124.717
1997,663,121.769
1998,627,123.184
1999,588,118.369
2000,553,117.956
2001,521,116.892
2002,520,113.262
2003,470,112.962
2004,447,105.84
2005,415,100.36
2006,386,95.029
2007,361,88.503
2008,342,84.318
2009,323,81.724
2010,305,78.3
2011,285,77.691
2012,266,78.635
2013,248,78.894
2014,231,78.944
2015,236,77.024
2016,200,73.771
2017,186,70.165
2018,186,67.469
2019,186,66.239
2020,186,64.938
2021,186,63.837
